Time,A1.5,PN,#6,A1.5,Empty,A1.5,SU1,Orlando,PN,Empty,A1.5,PN,A1.5,SU1,Orlando,A1.5,Empty,A1.5,PN,A1.5,Empty,Orlando,A1.5,PN,A1.5,PN,A1.5,SU1,Orlando,A1.5,PN,Empty,Empty,A1.5,SU1,Orlando,A1.5,PN,#6,A1.5,A1.5,SU1,Orlando,A1.5,PN,#6,A1.5,Empty,Empty,Orlando,A1.5,PN,#6,A1.5,PN,A1.5,Orlando,A1.5,PN,#6,A1.5,Empty,A1.5,SU1,AVERAGE
6:40 AM,8,0,0,0,0,0,0,5,0,0,0,1,0,0,4,5,0,0,0,0,0,4,3,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,32,0,0,0,0,3,0,0,0,0,1.317460317
6:50 AM,9,3,2,0,0,0,0,4,0,0,0,8,0,0,2,2,0,3,0,0,0,5,5,0,0,0,0,65,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,25,0,4,0,0,0,7,0,2,3,0,0,25,0,0,3,0,0,0,0,2.828125
7:00 AM,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,5,0,0,2,0,0,0,0,0.59375
7:10 AM,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.125
7:20 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.1875
7:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.109375
7:40 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.046875
7:50 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625
8:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125
8:10 AM,2,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.375
